NAME,PARTY,STATE,VOTE
Abercrombie,Democratic,Hawaii,Nay
Ackerman,Democratic,New York,Yea
Aderholt,Republican,Alabama,Yea
Akin,Republican,Missouri,Yea
Allen,Democratic,Maine,Nay
Andrews,Democratic,New Jersey,Yea
Armey,Republican,Texas,Yea
Baca,Democratic,California,Nay
Bachus,Republican,Alabama,Yea
Baird,Democratic,Washington,Nay
Baker,Republican,Louisiana,Yea
Baldacci,Democratic,Maine,Nay
Baldwin,Democratic,Wisconsin,Nay
Ballenger,Republican,North Carolina,Yea
Barcia,Democratic,Michigan,Yea
Barr,Republican,Georgia,Yea
Barrett,Democratic,Wisconsin,Nay
Bartlett,Republican,Maryland,Yea
Barton,Republican,Texas,Yea
Bass,Republican,New Hampshire,Yea
Becerra,Democratic,California,Nay
Bentsen,Democratic,Texas,Yea
Bereuter,Republican,Nebraska,Yea
Berkley,Democratic,Nevada,Yea
Berman,Democratic,California,Yea
Berry,Democratic,Arkansas,Yea
Biggert,Republican,Illinois,Yea
Bilirakis,Republican,Florida,Yea
Bishop,Democratic,Georgia,Yea
Blagojevich,Democratic,Illinois,Yea
Blumenauer,Democratic,Oregon,Nay
Blunt,Republican,Missouri,Yea
Boehlert,Republican,New York,Yea
Boehner,Republican,Ohio,Yea
Bonilla,Republican,Texas,Yea
Bonior,Democratic,Michigan,Nay
Bono,Republican,California,Yea
Boozman,Republican,Arkansas,Yea
Borski,Democratic,Pennsylvania,Yea
Boswell,Democratic,Iowa,Yea
Boucher,Democratic,Virginia,Yea
Boyd,Democratic,Florida,Yea
Brady (PA),Democratic,Pennsylvania,Nay
Brady (TX),Republican,Texas,Yea
Brown (FL),Democratic,Florida,Nay
Brown (OH),Democratic,Ohio,Nay
Brown (SC),Republican,South Carolina,Yea
Bryant,Republican,Tennessee,Yea
Burr,Republican,North Carolina,Yea
Burton,Republican,Indiana,Yea
Buyer,Republican,Indiana,Yea
Callahan,Republican,Alabama,Yea
Calvert,Republican,California,Yea
Camp,Republican,Michigan,Yea
Cannon,Republican,Utah,Yea
Cantor,Republican,Virginia,Yea
Capito,Republican,West Virginia,Yea
Capps,Democratic,California,Nay
Capuano,Democratic,Massachusetts,Nay
Cardin,Democratic,Maryland,Nay
Carson (IN),Democratic,Indiana,Nay
Carson (OK),Democratic,Oklahoma,Yea
Castle,Republican,Delaware,Yea
Chabot,Republican,Ohio,Yea
Chambliss,Republican,Georgia,Yea
Clay,Democratic,Missouri,Nay
Clayton,Democratic,North Carolina,Nay
Clement,Democratic,Tennessee,Yea
Clyburn,Democratic,South Carolina,Nay
Coble,Republican,North Carolina,Yea
Collins,Republican,Georgia,Yea
Combest,Republican,Texas,Yea
Condit,Democratic,California,Nay
Conyers,Democratic,Michigan,Nay
Cooksey,Republican,Louisiana,Yea
Costello,Democratic,Illinois,Nay
Cox,Republican,California,Yea
Coyne,Democratic,Pennsylvania,Nay
Cramer,Democratic,Alabama,Yea
Crane,Republican,Illinois,Yea
Crenshaw,Republican,Florida,Yea
Crowley,Democratic,New York,Yea
Cubin,Republican,Wyoming,Yea
Culberson,Republican,Texas,Yea
Cummings,Democratic,Maryland,Nay
Cunningham,Republican,California,Yea
Davis (CA),Democratic,California,Nay
Davis (FL),Democratic,Florida,Yea
Davis (IL),Democratic,Illinois,Nay
"Davis, Jo Ann",Republican,Virginia,Yea
"Davis, Tom",Republican,Virginia,Yea
Deal,Republican,Georgia,Yea
DeFazio,Democratic,Oregon,Nay
DeGette,Democratic,Colorado,Nay
Delahunt,Democratic,Massachusetts,Nay
DeLauro,Democratic,Connecticut,Nay
DeLay,Republican,Texas,Yea
DeMint,Republican,South Carolina,Yea
Deutsch,Democratic,Florida,Yea
Diaz-Balart,Republican,Florida,Yea
Dicks,Democratic,Washington,Yea
Dingell,Democratic,Michigan,Nay
Doggett,Democratic,Texas,Nay
Dooley,Democratic,California,Yea
Doolittle,Republican,California,Yea
Doyle,Democratic,Pennsylvania,Nay
Dreier,Republican,California,Yea
Duncan,Republican,Tennessee,Nay
Dunn,Republican,Washington,Yea
Edwards,Democratic,Texas,Yea
Ehlers,Republican,Michigan,Yea
Ehrlich,Republican,Maryland,Yea
Emerson,Republican,Missouri,Yea
Engel,Democratic,New York,Yea
English,Republican,Pennsylvania,Yea
Eshoo,Democratic,California,Nay
Etheridge,Democratic,North Carolina,Yea
Evans,Democratic,Illinois,Nay
Everett,Republican,Alabama,Yea
Farr,Democratic,California,Nay
Fattah,Democratic,Pennsylvania,Nay
Ferguson,Republican,New Jersey,Yea
Filner,Democratic,California,Nay
Flake,Republican,Arizona,Yea
Fletcher,Republican,Kentucky,Yea
Foley,Republican,Florida,Yea
Forbes,Republican,Virginia,Yea
Ford,Democratic,Tennessee,Yea
Fossella,Republican,New York,Yea
Frank,Democratic,Massachusetts,Nay
Frelinghuysen,Republican,New Jersey,Yea
Frost,Democratic,Texas,Yea
Gallegly,Republican,California,Yea
Ganske,Republican,Iowa,Yea
Gekas,Republican,Pennsylvania,Yea
Gephardt,Democratic,Missouri,Yea
Gibbons,Republican,Nevada,Yea
Gilchrest,Republican,Maryland,Yea
Gillmor,Republican,Ohio,Yea
Gilman,Republican,New York,Yea
Gonzalez,Democratic,Texas,Nay
Goode,Republican,Virginia,Yea
Goodlatte,Republican,Virginia,Yea
Gordon,Democratic,Tennessee,Yea
Goss,Republican,Florida,Yea
Graham,Republican,South Carolina,Yea
Granger,Republican,Texas,Yea
Graves,Republican,Missouri,Yea
Green (TX),Democratic,Texas,Yea
Green (WI),Republican,Wisconsin,Yea
Greenwood,Republican,Pennsylvania,Yea
Grucci,Republican,New York,Yea
Gutierrez,Democratic,Illinois,Nay
Gutknecht,Republican,Minnesota,Yea
Hall (TX),Democratic,Texas,Yea
Hansen,Republican,Utah,Yea
Harman,Democratic,California,Yea
Hart,Republican,Pennsylvania,Yea
Hastert,Republican,Illinois,Yea
Hastings (FL),Democratic,Florida,Nay
Hastings (WA),Republican,Washington,Yea
Hayes,Republican,North Carolina,Yea
Hayworth,Republican,Arizona,Yea
Hefley,Republican,Colorado,Yea
Herger,Republican,California,Yea
Hill,Democratic,Indiana,Yea
Hilleary,Republican,Tennessee,Yea
Hilliard,Democratic,Alabama,Nay
Hinchey,Democratic,New York,Nay
Hinojosa,Democratic,Texas,Nay
Hobson,Republican,Ohio,Yea
Hoeffel,Democratic,Pennsylvania,Yea
Hoekstra,Republican,Michigan,Yea
Holden,Democratic,Pennsylvania,Yea
Holt,Democratic,New Jersey,Nay
Honda,Democratic,California,Nay
Hooley,Democratic,Oregon,Nay
Horn,Republican,California,Yea
Hostettler,Republican,Indiana,Nay
Houghton,Republican,New York,Nay
Hoyer,Democratic,Maryland,Yea
Hulshof,Republican,Missouri,Yea
Hunter,Republican,California,Yea
Hyde,Republican,Illinois,Yea
Inslee,Democratic,Washington,Nay
Isakson,Republican,Georgia,Yea
Israel,Democratic,New York,Yea
Issa,Republican,California,Yea
Istook,Republican,Oklahoma,Yea
Jackson (IL),Democratic,Illinois,Nay
Jackson-Lee (TX),Democratic,Texas,Nay
Jefferson,Democratic,Louisiana,Yea
Jenkins,Republican,Tennessee,Yea
John,Democratic,Louisiana,Yea
Johnson (CT),Republican,Connecticut,Yea
Johnson (IL),Republican,Illinois,Yea
"Johnson, E. B.",Democratic,Texas,Nay
"Johnson, Sam",Republican,Texas,Yea
Jones (NC),Republican,North Carolina,Yea
Jones (OH),Democratic,Ohio,Nay
Kanjorski,Democratic,Pennsylvania,Yea
Kaptur,Democratic,Ohio,Nay
Keller,Republican,Florida,Yea
Kelly,Republican,New York,Yea
Kennedy (MN),Republican,Minnesota,Yea
Kennedy (RI),Democratic,Rhode Island,Yea
Kerns,Republican,Indiana,Yea
Kildee,Democratic,Michigan,Nay
Kilpatrick,Democratic,Michigan,Nay
Kind (WI),Democratic,Wisconsin,Yea
King (NY),Republican,New York,Yea
Kingston,Republican,Georgia,Yea
Kirk,Republican,Illinois,Yea
Kleczka,Democratic,Wisconsin,Nay
Knollenberg,Republican,Michigan,Yea
Kolbe,Republican,Arizona,Yea
Kucinich,Democratic,Ohio,Nay
LaFalce,Democratic,New York,Nay
LaHood,Republican,Illinois,Yea
Lampson,Democratic,Texas,Yea
Langevin,Democratic,Rhode Island,Nay
Lantos,Democratic,California,Yea
Larsen (WA),Democratic,Washington,Nay
Larson (CT),Democratic,Connecticut,Nay
Latham,Republican,Iowa,Yea
LaTourette,Republican,Ohio,Yea
Leach,Republican,Iowa,Nay
Lee,Democratic,California,Nay
Levin,Democratic,Michigan,Nay
Lewis (CA),Republican,California,Yea
Lewis (GA),Democratic,Georgia,Nay
Lewis (KY),Republican,Kentucky,Yea
Linder,Republican,Georgia,Yea
Lipinski,Democratic,Illinois,Nay
LoBiondo,Republican,New Jersey,Yea
Lofgren,Democratic,California,Nay
Lowey,Democratic,New York,Yea
Lucas (KY),Democratic,Kentucky,Yea
Lucas (OK),Republican,Oklahoma,Yea
Luther,Democratic,Minnesota,Yea
Lynch,Democratic,Massachusetts,Yea
Maloney (CT),Democratic,Connecticut,Nay
Maloney (NY),Democratic,New York,Yea
Manzullo,Republican,Illinois,Yea
Markey,Democratic,Massachusetts,Yea
Mascara,Democratic,Pennsylvania,Yea
Matheson,Democratic,Utah,Yea
Matsui,Democratic,California,Nay
McCarthy (MO),Democratic,Missouri,Nay
McCarthy (NY),Democratic,New York,Yea
McCollum,Democratic,Minnesota,Nay
McCrery,Republican,Louisiana,Yea
McDermott,Democratic,Washington,Nay
McGovern,Democratic,Massachusetts,Nay
McHugh,Republican,New York,Yea
McInnis,Republican,Colorado,Yea
McIntyre,Democratic,North Carolina,Yea
McKeon,Republican,California,Yea
McKinney,Democratic,Georgia,Nay
McNulty,Democratic,New York,Yea
Meehan,Democratic,Massachusetts,Yea
Meek (FL),Democratic,Florida,Nay
Meeks (NY),Democratic,New York,Nay
Menendez,Democratic,New Jersey,Nay
Mica,Republican,Florida,Yea
Millender-McDonald,Democratic,California,Nay
"Miller, Dan",Republican,Florida,Yea
"Miller, Gary",Republican,California,Yea
"Miller, George",Democratic,California,Nay
"Miller, Jeff",Republican,Florida,Yea
Mollohan,Democratic,West Virginia,Nay
Moore,Democratic,Kansas,Yea
Moran (KS),Republican,Kansas,Yea
Moran (VA),Democratic,Virginia,Nay
Morella,Republican,Maryland,Nay
Murtha,Democratic,Pennsylvania,Yea
Myrick,Republican,North Carolina,Yea
Nadler,Democratic,New York,Nay
Napolitano,Democratic,California,Nay
Neal,Democratic,Massachusetts,Nay
Nethercutt,Republican,Washington,Yea
Ney,Republican,Ohio,Yea
Northup,Republican,Kentucky,Yea
Norwood,Republican,Georgia,Yea
Nussle,Republican,Iowa,Yea
Oberstar,Democratic,Minnesota,Nay
Obey,Democratic,Wisconsin,Nay
Olver,Democratic,Massachusetts,Nay
Ortiz,Democratic,Texas,Not Voting
Osborne,Republican,Nebraska,Yea
Ose,Republican,California,Yea
Otter,Republican,Idaho,Yea
Owens,Democratic,New York,Nay
Oxley,Republican,Ohio,Yea
Pallone,Democratic,New Jersey,Nay
Pascrell,Democratic,New Jersey,Yea
Pastor,Democratic,Arizona,Nay
Paul,Republican,Texas,Nay
Payne,Democratic,New Jersey,Nay
Pelosi,Democratic,California,Nay
Pence,Republican,Indiana,Yea
Peterson (MN),Democratic,Minnesota,Yea
Peterson (PA),Republican,Pennsylvania,Yea
Petri,Republican,Wisconsin,Yea
Phelps,Democratic,Illinois,Yea
Pickering,Republican,Mississippi,Yea
Pitts,Republican,Pennsylvania,Yea
Platts,Republican,Pennsylvania,Yea
Pombo,Republican,California,Yea
Pomeroy,Democratic,North Dakota,Yea
Portman,Republican,Ohio,Yea
Price (NC),Democratic,North Carolina,Nay
Pryce (OH),Republican,Ohio,Yea
Putnam,Republican,Florida,Yea
Quinn,Republican,New York,Yea
Radanovich,Republican,California,Yea
Rahall,Democratic,West Virginia,Nay
Ramstad,Republican,Minnesota,Yea
Rangel,Democratic,New York,Nay
Regula,Republican,Ohio,Yea
Rehberg,Republican,Montana,Yea
Reyes,Democratic,Texas,Nay
Reynolds,Republican,New York,Yea
Riley,Republican,Alabama,Yea
Rivers,Democratic,Michigan,Nay
Rodriguez,Democratic,Texas,Nay
Roemer,Democratic,Indiana,Yea
Rogers (KY),Republican,Kentucky,Yea
Rogers (MI),Republican,Michigan,Yea
Rohrabacher,Republican,California,Yea
Ros-Lehtinen,Republican,Florida,Yea
Ross,Democratic,Arkansas,Yea
Rothman,Democratic,New Jersey,Yea
Roukema,Republican,New Jersey,Not Voting
Roybal-Allard,Democratic,California,Nay
Royce,Republican,California,Yea
Rush,Democratic,Illinois,Nay
Ryan (WI),Republican,Wisconsin,Yea
Ryun (KS),Republican,Kansas,Yea
Sabo,Democratic,Minnesota,Nay
Sanchez,Democratic,California,Nay
Sanders,Independent,Vermont,Nay
Sandlin,Democratic,Texas,Yea
Sawyer,Democratic,Ohio,Nay
Saxton,Republican,New Jersey,Yea
Schaffer,Republican,Colorado,Yea
Schakowsky,Democratic,Illinois,Nay
